8 4.0 -1.0 1 4 1 -1
8 4.0 -1.0 1 5 1 -1
8 4.0 -1.0 1 6 2 -1
8 4.0 -1.0 1 7 1 -1
8 4.0 -1.0 1 8 1 -1
8 4.0 -1.0 1 9 1 -1
8 4.0 -1.0 1 10 1 -1
8 4.0 -1.0 1 11 1 -1
8 4.0 -1.0 1 12 1 -1
8 4.0 -1.0 1 13 3 -1
8 4.0 -1.0 1 14 1 -1
8 4.0 -1.0 1 15 1 -1
8 4.0 -1.0 1 16 1 -1
8 4.0 -1.0 1 17 1 -1
8 4.0 -1.0 1 18 1 -1
8 4.0 -1.0 1 19 1 -1
8 4.0 -1.0 2 0 4 -1
8 4.0 -1.0 2 1 1 -1
8 4.0 -1.0 2 2 1 -1
8 4.0 -1.0 2 3 2 -1
8 4.0 -1.0 2 4 4 -1
8 4.0 -1.0 2 5 1 -1
8 4.0 -1.0 2 6 2 -1
8 4.0 -1.0 2 7 1 -1
8 4.0 -1.0 2 8 3 -1
8 4.0 -1.0 2 9 1 -1
8 4.0 -1.0 2 10 1 -1
8 4.0 -1.0 2 11 1 -1
8 4.0 -1.0 2 12 1 -1
8 4.0 -1.0 2 13 3 -1
8 4.0 -1.0 2 14 1 -1
8 4.0 -1.0 2 15 1 -1
8 4.0 -1.0 2 16 1 -1
8 4.0 -1.0 2 17 1 -1
8 4.0 -1.0 2 18 3 -1
8 4.0 -1.0 2 19 1 -1
8 4.0 -1.0 2 20 1 -1
8 4.0 -1.0 2 21 1 -1
8 4.0 -1.0 2 22 2 -1
8 4.0 -1.0 2 23 2 -1
8 4.0 -1.0 2 24 1 -1
8 4.0 -1.0 2 25 1 -1
8 4.0 -1.0 2 26 2 -1
8 4.0 -1.0 2 27 1 -1
8 4.0 -1.0 2 28 1 -1
8 4.0 -1.0 2 29 2 -1
8 4.0 -1.0 2 30 2 -1
8 4.0 -1.0 2 31 1 -1
8 4.0 -1.0 2 32 2 -1
8 4.0 -1.0 2 33 3 -1
8 4.0 -1.0 2 34 1 -1
8 4.0 -1.0 2 35 4 -1
8 4.0 -1.0 2 36 1 -1
8 4.0 -1.0 2 37 1 -1
8 4.0 -1.0 2 38 3 -1
8 4.0 -1.0 2 39 1 -1
8 4.0 -1.0 2 40 1 -1
8 4.0 -1.0 2 41 1 -1
8 4.0 -1.0 2 42 4 -1
8 4.0 -1.0 2 43 3 -1
8 4.0 -1.0 2 44 1 -1
8 4.0 -1.0 2 45 2 -1
8 4.0 -1.0 2 46 2 -1
8 4.0 -1.0 2 47 1 -1
8 4.0 -1.0 2 48 1 -1
8 4.0 -1.0 2 49 2 -1
8 4.0 -1.0 2 50 1 -1
8 4.0 -1.0 2 51 2 -1
8 4.0 -1.0 2 52 1 -1
8 4.0 -1.0 2 53 1 -1
8 4.0 -1.0 2 54 2 -1
8 4.0 -1.0 2 55 1 -1
8 4.0 -1.0 2 56 1 -1
8 4.0 -1.0 2 57 1 -1
8 4.0 -1.0 2 58 1 -1
8 4.0 -1.0 2 59 1 -1
8 4.0 -1.0 2 60 2 -1
8 4.0 -1.0 2 61 1 -1
8 4.0 -1.0 2 62 1 -1
8 4.0 -1.0 2 63 1 -1
8 4.0 -1.0 2 64 4 -1
8 4.0 -1.0 2 65 4 -1
8 4.0 -1.0 2 66 1 -1
8 4.0 -1.0 2 67 1 -1
8 4.0 -1.0 2 68 1 -1
8 4.0 -1.0 2 69 1 -1
9 4.0 -1.0 0 0 4 0
9 4.0 -1.0 0 1 2 -1
9 4.0 -1.0 0 2 1 -1
9 4.0 -1.0 0 3 3 -1
9 4.0 -1.0 0 4 2 -1
9 4.0 -1.0 0 5 1 -1
9 4.0 -1.0 0 6 2 -1
9 4.0 -1.0 0 7 1 -1
9 4.0 -1.0 0 8 1 -1
9 4.0 -1.0 0 9 1 -1
9 4.0 -1.0 0 10 1 -1
9 4.0 -1.0 0 11 1 -1
9 4.0 -1.0 0 12 1 -1
9 4.0 -1.0 0 13 1 -1
9 4.0 -1.0 0 14 1 -1
9 4.0 -1.0 0 15 1 -1
9 4.0 -1.0 0 16 1 -1
9 4.0 -1.0 0 17 1 -1
9 4.0 -1.0 0 18 1 -1
9 4.0 -1.0 0 19 1 -1
9 4.0 -1.0 0 20 2 -1
9 4.0 -1.0 0 21 1 -1
9 4.0 -1.0 0 22 1 -1
9 4.0 -1.0 0 23 2 -1
9 4.0 -1.0 0 24 1 -1
9 4.0 -1.0 0 25 1 -1
9 4.0 -1.0 0 26 2 -1
9 4.0 -1.0 0 27 2 -1
9 4.0 -1.0 0 28 1 -1
9 4.0 -1.0 0 29 1 -1
9 4.0 -1.0 0 30 2 -1
9 4.0 -1.0 0 31 1 -1
9 4.0 -1.0 0 32 1 -1
9 4.0 -1.0 0 33 3 -1
9 4.0 -1.0 0 34 1 -1
9 4.0 -1.0 0 35 1 -1
9 4.0 -1.0 0 36 1 -1
9 4.0 -1.0 0 37 3 -1
9 4.0 -1.0 0 38 1 -1
9 4.0 -1.0 0 39 3 -1
9 4.0 -1.0 0 40 1 -1
9 4.0 -1.0 0 41 1 -1
9 4.0 -1.0 0 42 1 -1
9 4.0 -1.0 0 43 1 -1
9 4.0 -1.0 0 44 2 -1
9 4.0 -1.0 0 45 1 -1
9 4.0 -1.0 0 46 1 -1
9 4.0 -1.0 0 47 1 -1
9 4.0 -1.0 1 0 1 0
9 4.0 -1.0 1 1 1 -1
9 4.0 -1.0 1 2 2 -1
9 4.0 -1.0 1 3 1 -1
9 4.0 -1.0 1 4 1 -1
9 4.0 -1.0 1 5 1 -1
9 4.0 -1.0 1 6 1 -1
9 4.0 -1.0 1 7 1 -1
9 4.0 -1.0 1 8 1 -1
9 4.0 -1.0 1 9 1 -1
9 4.0 -1.0 1 10 2 -1
9 4.0 -1.0 1 11 1 -1
9 4.0 -1.0 1 12 1 -1
9 4.0 -1.0 1 13 2 -1
9 4.0 -1.0 1 14 1 -1
9 4.0 -1.0 1 15 1 -1
9 4.0 -1.0 1 16 1 -1
9 4.0 -1.0 1 17 2 -1
9 4.0 -1.0 1 18 1 -1
9 4.0 -1.0 1 19 1 -1
9 4.0 -1.0 1 20 1 -1
9 4.0 -1.0 1 21 1 -1
9 4.0 -1.0 1 22 1 -1
9 4.0 -1.0 1 23 1 -1
9 4.0 -1.0 1 24 1 -1
9 4.0 -1.0 1 25 2 -1
9 4.0 -1.0 2 0 4 0
9 4.0 -1.0 2 1 6 -1
9 4.0 -1.0 2 2 1 -1
9 4.0 -1.0 2 3 1 -1
9 4.0 -1.0 2 4 2 -1
9 4.0 -1.0 2 5 1 -1
9 4.0 -1.0 2 6 1 -1
9 4.0 -1.0 2 7 2 -1
9 4.0 -1.0 2 8 1 -1
9 4.0 -1.0 2 9 1 -1
9 4.0 -1.0 2 10 3 -1
9 4.0 -1.0 2 11 2 -1
9 4.0 -1.0 2 12 2 -1
9 4.0 -1.0 2 13 1 -1
9 4.0 -1.0 2 14 2 -1
9 4.0 -1.0 2 15 2 -1
9 4.0 -1.0 2 16 3 -1
9 4.0 -1.0 2 17 1 -1
9 4.0 -1.0 2 18 2 -1
9 4.0 -1.0 2 19 1 -1
9 4.0 -1.0 2 20 1 -1
9 4.0 -1.0 2 21 1 -1
9 4.0 -1.0 2 22 2 -1
9 4.0 -1.0 2 23 1 -1
9 4.0 -1.0 2 24 1 -1
9 4.0 -1.0 2 25 1 -1
9 4.0 -1.0 2 26 2 -1
9 4.0 -1.0 2 27 2 -1
9 4.0 -1.0 2 28 3 -1
9 4.0 -1.0 2 29 2 -1
9 4.0 -1.0 2 30 2 -1
9 4.0 -1.0 2 31 1 -1
9 4.0 -1.0 2 32 1 -1
9 4.0 -1.0 2 33 1 -1
9 4.0 -1.0 2 34 1 -1
9 4.0 -1.0 2 35 2 -1
9 4.0 -1.0 2 36 1 -1
9 4.0 -1.0 2 37 1 -1
9 4.0 -1.0 2 38 1 -1
9 4.0 -1.0 2 39 1 -1
9 4.0 -1.0 2 40 1 -1
9 4.0 -1.0 2 41 1 -1
9 4.0 -1.0 2 42 1 -1
9 4.0 -1.0 2 43 1 -1
9 4.0 -1.0 2 44 1 -1
9 4.0 -1.0 2 45 2 -1
9 4.0 -1.0 2 46 1 -1
9 4.0 -1.0 2 47 2 -1
9 4.0 -1.0 2 48 3 -1
9 4.0 -1.0 2 49 1 -1
9 4.0 -1.0 2 50 3 -1
9 4.0 -1.0 2 51 1 -1
9 4.0 -1.0 2 52 3 -1
9 4.0 -1.0 2 53 1 -1
10 4.0 -1.0 0 0 2 0
10 4.0 -1.0 0 1 1 -1
10 4.0 -1.0 0 2 1 -1
10 4.0 -1.0 0 3 3 -1
10 4.0 -1.0 0 4 1 -1
10 4.0 -1.0 0 5 2 -1
10 4.0 -1.0 0 6 2 -1
10 4.0 -1.0 0 7 1 -1
10 4.0 -1.0 0 8 2 -1
10 4.0 -1.0 0 9 3 -1
10 4.0 -1.0 0 10 1 -1
10 4.0 -1.0 0 11 1 -1
10 4.0 -1.0 0 12 1 -1
10 4.0 -1.0 0 13 1 -1
10 4.0 -1.0 0 14 1 -1
10 4.0 -1.0 0 15 2 -1
10 4.0 -1.0 0 16 1 -1
10 4.0 -1.0 0 17 2 -1
10 4.0 -1.0 0 18 1 -1
10 4.0 -1.0 0 19 1 -1
10 4.0 -1.0 0 20 1 -1
10 4.0 -1.0 0 21 2 -1
10 4.0 -1.0 0 22 2 -1
10 4.0 -1.0 0 23 1 -1
10 4.0 -1.0 0 24 1 -1
10 4.0 -1.0 0 25 1 -1
10 4.0 -1.0 0 26 1 -1
10 4.0 -1.0 0 27 1 -1
10 4.0 -1.0 0 28 2 -1
10 4.0 -1.0 0 29 1 -1
10 4.0 -1.0 0 30 1 -1
10 4.0 -1.0 0 31 1 -1
10 4.0 -1.0 0 32 2 -1
10 4.0 -1.0 0 33 2 -1
10 4.0 -1.0 0 34 1 -1
10 4.0 -1.0 0 35 1 -1
10 4.0 -1.0 0 36 2 -1
10 4.0 -1.0 0 37 2 -1
10 4.0 -1.0 0 38 1 -1
10 4.0 -1.0 0 39 1 -1
10 4.0 -1.0 0 40 1 -1
10 4.0 -1.0 0 41 1 -1
10 4.0 -1.0 0 42 4 -1
10 4.0 -1.0 0 43 2 -1
10 4.0 -1.0 0 44 1 -1
10 4.0 -1.0 0 45 3 -1
10 4.0 -1.0 0 46 1 -1
10 4.0 -1.0 0 47 1 -1
10 4.0 -1.0 1 0 3 0
10 4.0 -1.0 1 1 1 -1
10 4.0 -1.0 1 2 2 -1
10 4.0 -1.0 1 3 1 -1
10 4.0 -1.0 1 4 1 -1
10 4.0 -1.0 1 5 1 -1
10 4.0 -1.0 1 6 1 -1
10 4.0 -1.0 1 7 1 -1
10 4.0 -1.0 1 8 1 -1
10 4.0 -1.0 1 9 2 -1
10 4.0 -1.0 1 10 1 -1
10 4.0 -1.0 1 11 1 -1
10 4.0 -1.0 1 12 1 -1
10 4.0 -1.0 1 13 1 -1
10 4.0 -1.0 1 14 1 -1
10 4.0 -1.0 1 15 1 -1
10 4.0 -1.0 1 16 1 -1
10 4.0 -1.0 1 17 1 -1
10 4.0 -1.0 2 0 4 0
10 4.0 -1.0 2 1 3 -1
10 4.0 -1.0 2 2 3 -1
10 4.0 -1.0 2 3 1 -1
10 4.0 -1.0 2 4 2 -1
10 4.0 -1.0 2 5 3 -1
10 4.0 -1.0 2 6 2 -1
10 4.0 -1.0 2 7 3 -1
10 4.0 -1.0 2 8 1 -1
10 4.0 -1.0 2 9 2 -1
10 4.0 -1.0 2 10 1 -1
10 4.0 -1.0 2 11 2 -1
10 4.0 -1.0 2 12 2 -1
10 4.0 -1.0 2 13 1 -1
10 4.0 -1.0 2 14 1 -1
10 4.0 -1.0 2 15 2 -1
10 4.0 -1.0 2 16 1 -1
10 4.0 -1.0 2 17 1 -1
10 4.0 -1.0 2 18 1 -1
10 4.0 -1.0 2 19 2 -1
10 4.0 -1.0 2 20 1 -1
10 4.0 -1.0 2 21 1 -1
10 4.0 -1.0 2 22 2 -1
10 4.0 -1.0 2 23 1 -1
10 4.0 -1.0 2 24 2 -1
10 4.0 -1.0 2 25 1 -1
10 4.0 -1.0 2 26 3 -1
10 4.0 -1.0 2 27 1 -1
10 4.0 -1.0 2 28 2 -1
10 4.0 -1.0 2 29 1 -1
10 4.0 -1.0 2 30 1 -1
10 4.0 -1.0 2 31 1 -1
10 4.0 -1.0 2 32 2 -1
10 4.0 -1.0 2 33 1 -1
10 4.0 -1.0 2 34 3 -1
10 4.0 -1.0 2 35 1 -1
10 4.0 -1.0 2 36 1 -1
10 4.0 -1.0 2 37 2 -1
10 4.0 -1.0 2 38 1 -1
10 4.0 -1.0 2 39 1 -1
10 4.0 -1.0 2 40 1 -1
10 4.0 -1.0 2 41 1 -1
10 4.0 -1.0 2 42 2 -1
10 4.0 -1.0 2 43 1 -1
10 4.0 -1.0 2 44 2 -1
10 4.0 -1.0 2 45 1 -1
10 4.0 -1.0 2 46 1 -1
10 4.0 -1.0 2 47 1 -1
10 4.0 -1.0 2 48 1 -1
10 4.0 -1.0 2 49 1 -1
10 4.0 -1.0 2 50 1 -1
10 4.0 -1.0 2 51 1 -1
10 4.0 -1.0 2 52 2 -1
10 4.0 -1.0 2 53 1 -1
10 4.0 -1.0 2 54 3 -1
10 4.0 -1.0 2 55 2 -1
11 4.0 -1.0 0 0 2 0
11 4.0 -1.0 0 1 1 -1
11 4.0 -1.0 0 2 3 -1
11 4.0 -1.0 0 3 1 -1
11 4.0 -1.0 0 4 1 -1
11 4.0 -1.0 0 5 1 -1
11 4.0 -1.0 0 6 1 -1
11 4.0 -1.0 0 7 5 -1
11 4.0 -1.0 0 8 1 -1
11 4.0 -1.0 0 9 1 -1
11 4.0 -1.0 0 10 1 -1
11 4.0 -1.0 0 11 1 -1
11 4.0 -1.0 0 12 1 -1
11 4.0 -1.0 0 13 1 -1
11 4.0 -1.0 0 14 1 -1
11 4.0 -1.0 0 15 1 -1
11 4.0 -1.0 0 16 1 -1
11 4.0 -1.0 0 17 1 -1
11 4.0 -1.0 0 18 1 -1
11 4.0 -1.0 0 19 1 -1
11 4.0 -1.0 0 20 1 -1
11 4.0 -1.0 0 21 1 -1
11 4.0 -1.0 0 22 1 -1
11 4.0 -1.0 0 23 1 -1
11 4.0 -1.0 0 24 2 -1
11 4.0 -1.0 0 25 1 -1
11 4.0 -1.0 0 26 1 -1
11 4.0 -1.0 0 27 1 -1
11 4.0 -1.0 0 28 1 -1
11 4.0 -1.0 0 29 1 -1
11 4.0 -1.0 0 30 3 -1
11 4.0 -1.0 0 31 3 -1
11 4.0 -1.0 0 32 2 -1
11 4.0 -1.0 0 33 1 -1
11 4.0 -1.0 0 34 1 -1
11 4.0 -1.0 0 35 1 -1
11 4.0 -1.0 0 36 2 -1
11 4.0 -1.0 0 37 1 -1
11 4.0 -1.0 0 38 2 -1
11 4.0 -1.0 0 39 1 -1
11 4.0 -1.0 0 40 1 -1
11 4.0 -1.0 0 41 1 -1
11 4.0 -1.0 0 42 1 -1
11 4.0 -1.0 0 43 2 -1
11 4.0 -1.0 0 44 1 -1
11 4.0 -1.0 0 45 2 -1
11 4.0 -1.0 0 46 1 -1
11 4.0 -1.0 0 47 1 -1
11 4.0 -1.0 1 0 1 0
11 4.0 -1.0 1 1 2 -1
11 4.0 -1.0 1 2 1 -1
11 4.0 -1.0 1 3 1 -1
11 4.0 -1.0 1 4 1 -1
11 4.0 -1.0 1 5 1 -1
11 4.0 -1.0 1 6 1 -1
11 4.0 -1.0 1 7 1 -1
11 4.0 -1.0 1 8 1 -1
11 4.0 -1.0 1 9 1 -1
11 4.0 -1.0 1 10 1 -1
11 4.0 -1.0 1 11 2 -1
11 4.0 -1.0 1 12 2 -1
11 4.0 -1.0 1 13 1 -1
11 4.0 -1.0 1 14 1 -1
11 4.0 -1.0 1 15 1 -1
11 4.0 -1.0 1 16 1 -1
11 4.0 -1.0 1 17 1 -1
11 4.0 -1.0 1 18 1 -1
11 4.0 -1.0 1 19 1 -1
11 4.0 -1.0 2 0 1 0
11 4.0 -1.0 2 1 2 -1
11 4.0 -1.0 2 2 1 -1
11 4.0 -1.0 2 3 1 -1
11 4.0 -1.0 2 4 1 -1
11 4.0 -1.0 2 5 2 -1
11 4.0 -1.0 2 6 1 -1
11 4.0 -1.0 2 7 1 -1
11 4.0 -1.0 2 8 1 -1
11 4.0 -1.0 2 9 1 -1
11 4.0 -1.0 2 10 1 -1
11 4.0 -1.0 2 11 2 -1
11 4.0 -1.0 2 12 1 -1
11 4.0 -1.0 2 13 1 -1
11 4.0 -1.0 2 14 1 -1
11 4.0 -1.0 2 15 2 -1
11 4.0 -1.0 2 16 1 -1
11 4.0 -1.0 2 17 1 -1
11 4.0 -1.0 2 18 1 -1
11 4.0 -1.0 2 19 1 -1
11 4.0 -1.0 2 20 1 -1
11 4.0 -1.0 2 21 1 -1
11 4.0 -1.0 2 22 1 -1
11 4.0 -1.0 2 23 1 -1
11 4.0 -1.0 2 24 1 -1
11 4.0 -1.0 2 25 2 -1
11 4.0 -1.0 2 26 1 -1
11 4.0 -1.0 2 27 2 -1
11 4.0 -1.0 2 28 1 -1
11 4.0 -1.0 2 29 1 -1
11 4.0 -1.0 2 30 2 -1
11 4.0 -1.0 2 31 2 -1
11 4.0 -1.0 2 32 1 -1
11 4.0 -1.0 2 33 2 -1
11 4.0 -1.0 2 34 1 -1
11 4.0 -1.0 2 35 1 -1
11 4.0 -1.0 2 36 1 -1
11 4.0 -1.0 2 37 1 -1
11 4.0 -1.0 2 38 2 -1
11 4.0 -1.0 2 39 1 -1
11 4.0 -1.0 2 40 1 -1
11 4.0 -1.0 2 41 2 -1
11 4.0 -1.0 2 42 1 -1
11 4.0 -1.0 2 43 4 -1
11 4.0 -1.0 2 44 2 -1
11 4.0 -1.0 2 45 1 -1
11 4.0 -1.0 2 46 1 -1
11 4.0 -1.0 2 47 1 -1
11 4.0 -1.0 2 48 1 -1
12 4.0 -1.0 0 0 5 0
12 4.0 -1.0 0 1 3 -1
12 4.0 -1.0 0 2 2 -1
12 4.0 -1.0 0 3 2 -1
12 4.0 -1.0 0 4 1 -1
12 4.0 -1.0 0 5 1 -1
12 4.0 -1.0 0 6 2 -1
12 4.0 -1.0 0 7 1 -1
12 4.0 -1.0 0 8 1 -1
12 4.0 -1.0 0 9 1 -1
12 4.0 -1.0 0 10 1 -1
12 4.0 -1.0 0 11 1 -1
12 4.0 -1.0 0 12 1 -1
12 4.0 -1.0 0 13 1 -1
12 4.0 -1.0 0 14 2 -1
12 4.0 -1.0 0 15 1 -1
12 4.0 -1.0 0 16 2 -1
12 4.0 -1.0 0 17 2 -1
12 4.0 -1.0 0 18 1 -1
12 4.0 -1.0 0 19 1 -1
12 4.0 -1.0 0 20 2 -1
12 4.0 -1.0 0 21 2 -1
12 4.0 -1.0 0 22 1 -1
12 4.0 -1.0 0 23 2 -1
12 4.0 -1.0 0 24 1 -1
12 4.0 -1.0 0 25 1 -1
12 4.0 -1.0 0 26 1 -1
12 4.0 -1.0 0 27 1 -1
12 4.0 -1.0 0 28 1 -1
12 4.0 -1.0 0 29 1 -1
12 4.0 -1.0 0 30 1 -1
12 4.0 -1.0 0 31 2 -1
12 4.0 -1.0 0 32 1 -1
12 4.0 -1.0 0 33 1 -1
12 4.0 -1.0 0 34 1 -1
12 4.0 -1.0 0 35 1 -1
12 4.0 -1.0 0 36 2 -1
12 4.0 -1.0 0 37 1 -1
12 4.0 -1.0 0 38 1 -1
12 4.0 -1.0 2 0 1 -1
12 4.0 -1.0 2 1 3 -1
12 4.0 -1.0 2 2 1 -1
12 4.0 -1.0 2 3 1 -1
12 4.0 -1.0 2 4 2 -1
12 4.0 -1.0 2 5 1 -1
12 4.0 -1.0 2 6 1 -1
12 4.0 -1.0 2 7 1 -1
12 4.0 -1.0 2 8 1 -1
12 4.0 -1.0 2 9 2 -1
12 4.0 -1.0 2 10 1 -1
12 4.0 -1.0 2 11 1 -1
12 4.0 -1.0 2 12 2 -1
12 4.0 -1.0 2 13 1 -1
12 4.0 -1.0 2 14 3 -1
12 4.0 -1.0 2 15 1 -1
12 4.0 -1.0 2 16 1 -1
12 4.0 -1.0 2 17 1 -1
12 4.0 -1.0 2 18 4 -1
12 4.0 -1.0 2 19 1 -1
12 4.0 -1.0 2 20 1 -1
12 4.0 -1.0 2 21 1 -1
12 4.0 -1.0 2 22 2 -1
12 4.0 -1.0 2 23 1 -1
12 4.0 -1.0 2 24 1 -1
12 4.0 -1.0 2 25 1 -1
12 4.0 -1.0 2 26 2 -1
12 4.0 -1.0 2 27 5 -1
12 4.0 -1.0 2 28 1 -1
12 4.0 -1.0 2 29 1 -1
12 4.0 -1.0 2 30 1 -1
12 4.0 -1.0 2 31 2 -1
12 4.0 -1.0 2 32 3 -1
12 4.0 -1.0 2 33 1 -1
12 4.0 -1.0 2 34 1 -1
12 4.0 -1.0 2 35 1 -1
12 4.0 -1.0 2 36 2 -1
12 4.0 -1.0 2 37 1 -1
12 4.0 -1.0 2 38 1 -1
12 4.0 -1.0 2 39 2 -1
12 4.0 -1.0 2 40 2 -1
12 4.0 -1.0 1 0 1 -1
12 4.0 -1.0 1 1 1 -1
12 4.0 -1.0 1 2 1 -1
12 4.0 -1.0 1 3 1 -1
12 4.0 -1.0 1 4 1 -1
12 4.0 -1.0 1 5 1 -1
12 4.0 -1.0 1 6 1 -1
12 4.0 -1.0 1 7 1 -1
12 4.0 -1.0 1 8 1 -1
12 4.0 -1.0 1 9 2 -1
12 4.0 -1.0 1 10 1 -1
12 4.0 -1.0 1 11 1 -1
12 4.0 -1.0 1 12 2 -1
12 4.0 -1.0 1 13 2 -1
12 4.0 -1.0 1 14 1 -1
12 4.0 -1.0 1 15 1 -1
12 4.0 -1.0 1 16 1 -1
12 4.0 -1.0 1 17 1 -1
13 4.0 -1.0 0 0 2 0
13 4.0 -1.0 0 1 1 -1
13 4.0 -1.0 0 2 1 -1
13 4.0 -1.0 0 3 1 -1
13 4.0 -1.0 0 4 2 -1
13 4.0 -1.0 0 5 2 -1
13 4.0 -1.0 0 6 1 -1
13 4.0 -1.0 0 7 1 -1
13 4.0 -1.0 0 8 2 -1
13 4.0 -1.0 0 9 1 -1
13 4.0 -1.0 0 10 1 -1
13 4.0 -1.0 0 11 1 -1
13 4.0 -1.0 0 12 1 -1
13 4.0 -1.0 0 13 1 -1
13 4.0 -1.0 0 14 1 -1
13 4.0 -1.0 0 15 1 -1
13 4.0 -1.0 0 16 2 -1
13 4.0 -1.0 0 17 2 -1
13 4.0 -1.0 0 18 1 -1
13 4.0 -1.0 0 19 1 -1
13 4.0 -1.0 0 20 2 -1
13 4.0 -1.0 0 21 1 -1
13 4.0 -1.0 0 22 1 -1
13 4.0 -1.0 0 23 1 -1
13 4.0 -1.0 0 24 1 -1
13 4.0 -1.0 0 25 1 -1
13 4.0 -1.0 0 26 1 -1
13 4.0 -1.0 0 27 1 -1
13 4.0 -1.0 0 28 1 -1
13 4.0 -1.0 0 29 2 -1
13 4.0 -1.0 0 30 1 -1
13 4.0 -1.0 0 31 1 -1
13 4.0 -1.0 0 32 1 -1
13 4.0 -1.0 0 33 4 -1
13 4.0 -1.0 0 34 1 -1
13 4.0 -1.0 0 35 1 -1
13 4.0 -1.0 0 36 1 -1
13 4.0 -1.0 0 37 1 -1
13 4.0 -1.0 0 38 1 -1
13 4.0 -1.0 0 39 1 -1
13 4.0 -1.0 0 40 1 -1
13 4.0 -1.0 0 41 1 -1
13 4.0 -1.0 0 42 1 -1
13 4.0 -1.0 0 43 2 -1
13 4.0 -1.0 0 44 2 -1
13 4.0 -1.0 0 45 1 -1
13 4.0 -1.0 1 0 3 0
13 4.0 -1.0 1 1 1 -1
13 4.0 -1.0 1 2 1 -1
13 4.0 -1.0 1 3 1 -1
13 4.0 -1.0 1 4 1 -1
13 4.0 -1.0 1 5 1 -1
13 4.0 -1.0 1 6 1 -1
13 4.0 -1.0 1 7 1 -1
13 4.0 -1.0 1 8 1 -1
13 4.0 -1.0 1 9 1 -1
13 4.0 -1.0 1 10 1 -1
13 4.0 -1.0 1 11 1 -1
13 4.0 -1.0 1 12 1 -1
13 4.0 -1.0 1 13 1 -1
13 4.0 -1.0 2 0 6 0
13 4.0 -1.0 2 1 1 -1
13 4.0 -1.0 2 2 2 -1
13 4.0 -1.0 2 3 1 -1
13 4.0 -1.0 2 4 1 -1
13 4.0 -1.0 2 5 2 -1
13 4.0 -1.0 2 6 1 -1
13 4.0 -1.0 2 7 1 -1
13 4.0 -1.0 2 8 1 -1
13 4.0 -1.0 2 9 1 -1
13 4.0 -1.0 2 10 1 -1
13 4.0 -1.0 2 11 1 -1
13 4.0 -1.0 2 12 2 -1
13 4.0 -1.0 2 13 1 -1
13 4.0 -1.0 2 14 2 -1
13 4.0 -1.0 2 15 1 -1
13 4.0 -1.0 2 16 1 -1
13 4.0 -1.0 2 17 3 -1
13 4.0 -1.0 2 18 2 -1
13 4.0 -1.0 2 19 1 -1
13 4.0 -1.0 2 20 1 -1
13 4.0 -1.0 2 21 1 -1
13 4.0 -1.0 2 22 1 -1
13 4.0 -1.0 2 23 2 -1
13 4.0 -1.0 2 24 1 -1
13 4.0 -1.0 2 25 2 -1
13 4.0 -1.0 2 26 2 -1
13 4.0 -1.0 2 27 1 -1
13 4.0 -1.0 2 28 1 -1
13 4.0 -1.0 2 29 1 -1
13 4.0 -1.0 2 30 1 -1
13 4.0 -1.0 2 31 1 -1
13 4.0 -1.0 2 32 1 -1
13 4.0 -1.0 2 33 2 -1
13 4.0 -1.0 2 34 1 -1
13 4.0 -1.0 2 35 1 -1
13 4.0 -1.0 2 36 1 -1
13 4.0 -1.0 2 37 3 -1
13 4.0 -1.0 2 38 1 -1
13 4.0 -1.0 2 39 1 -1
13 4.0 -1.0 2 40 1 -1
13 4.0 -1.0 2 41 1 -1
13 4.0 -1.0 2 42 1 -1
14 4.0 -1.0 0 0 6 0
14 4.0 -1.0 0 1 1 -1
14 4.0 -1.0 0 2 3 -1
14 4.0 -1.0 0 3 1 -1
14 4.0 -1.0 0 4 2 -1
14 4.0 -1.0 0 5 1 -1
14 4.0 -1.0 0 6 1 -1
14 4.0 -1.0 0 7 2 -1
14 4.0 -1.0 0 8 1 -1
14 4.0 -1.0 0 9 1 -1
14 4.0 -1.0 0 10 1 -1
14 4.0 -1.0 0 11 1 -1
14 4.0 -1.0 0 12 2 -1
14 4.0 -1.0 0 13 1 -1
14 4.0 -1.0 0 14 1 -1
14 4.0 -1.0 0 15 2 -1
14 4.0 -1.0 0 16 1 -1
14 4.0 -1.0 0 17 1 -1
14 4.0 -1.0 0 18 1 -1
14 4.0 -1.0 0 19 1 -1
14 4.0 -1.0 0 20 1 -1
14 4.0 -1.0 0 21 1 -1
14 4.0 -1.0 0 22 1 -1
14 4.0 -1.0 0 23 1 -1
14 4.0 -1.0 0 24 1 -1
14 4.0 -1.0 0 25 2 -1
14 4.0 -1.0 0 26 1 -1
14 4.0 -1.0 0 27 2 -1
14 4.0 -1.0 0 28 1 -1
14 4.0 -1.0 0 29 2 -1
14 4.0 -1.0 0 30 2 -1
14 4.0 -1.0 0 31 1 -1
14 4.0 -1.0 0 32 1 -1
14 4.0 -1.0 0 33 1 -1
14 4.0 -1.0 0 34 1 -1
14 4.0 -1.0 0 35 1 -1
14 4.0 -1.0 0 36 1 -1
14 4.0 -1.0 0 37 1 -1
14 4.0 -1.0 0 38 1 -1
14 4.0 -1.0 0 39 2 -1
14 4.0 -1.0 0 40 1 -1
14 4.0 -1.0 0 41 1 -1
14 4.0 -1.0 0 42 1 -1
14 4.0 -1.0 0 43 1 -1
14 4.0 -1.0 0 44 1 -1
14 4.0 -1.0 0 45 1 -1
