0 2.0 -1.0 1 83 1 -1
0 2.0 -1.0 1 84 2 -1
0 2.0 -1.0 1 84 1 -1
0 2.0 -1.0 2 84 1 -1
0 2.0 -1.0 0 85 1 -1
0 2.0 -1.0 2 85 1 -1
0 2.0 -1.0 0 86 1 -1
0 2.0 -1.0 2 87 3 -1
0 2.0 -1.0 2 88 1 -1
0 2.0 -1.0 0 89 2 -1
0 2.0 -1.0 0 89 1 -1
0 2.0 -1.0 1 89 2 -1
0 2.0 -1.0 1 89 1 -1
0 2.0 -1.0 2 89 1 -1
0 2.0 -1.0 1 90 3 -1
0 2.0 -1.0 1 90 1 -1
0 2.0 -1.0 2 90 1 -1
0 2.0 -1.0 1 91 1 -1
0 2.0 -1.0 2 91 1 -1
0 2.0 -1.0 0 93 1 -1
0 2.0 -1.0 1 95 3 -1
0 2.0 -1.0 1 95 2 -1
0 2.0 -1.0 1 95 1 -1
0 2.0 -1.0 2 95 1 -1
0 2.0 -1.0 1 96 2 -1
0 2.0 -1.0 1 96 1 -1
0 2.0 -1.0 0 97 1 -1
0 2.0 -1.0 2 97 2 -1
0 2.0 -1.0 0 98 2 -1
0 2.0 -1.0 0 98 1 -1
0 2.0 -1.0 1 98 3 -1
0 2.0 -1.0 1 98 1 -1
0 2.0 -1.0 2 98 1 -1
0 2.0 -1.0 1 99 1 -1
0 2.0 -1.0 1 100 2 -1
0 2.0 -1.0 1 100 1 -1
0 2.0 -1.0 1 101 5 -1
0 2.0 -1.0 1 101 2 -1
0 2.0 -1.0 1 101 1 -1
0 2.0 -1.0 2 101 1 -1
0 2.0 -1.0 1 102 2 -1
0 2.0 -1.0 1 102 1 -1
0 2.0 -1.0 1 103 2 -1
0 2.0 -1.0 2 103 2 -1
0 2.0 -1.0 2 103 1 -1
0 2.0 -1.0 0 104 1 -1
0 2.0 -1.0 1 104 1 -1
0 2.0 -1.0 2 104 1 -1
0 3.0 -1.0 1 0 1 -1
0 3.0 -1.0 1 1 1 -1
0 3.0 -1.0 2 1 5 -1
0 3.0 -1.0 2 1 2 -1
0 3.0 -1.0 2 1 1 -1
0 3.0 -1.0 0 2 1 -1
0 3.0 -1.0 1 2 4 -1
0 3.0 -1.0 1 2 2 -1
0 3.0 -1.0 1 2 1 -1
0 3.0 -1.0 2 2 1 -1
0 3.0 -1.0 2 3 1 -1
0 3.0 -1.0 0 4 1 -1
0 3.0 -1.0 1 4 6 -1
0 3.0 -1.0 1 4 3 -1
0 3.0 -1.0 1 4 1 -1
0 3.0 -1.0 2 4 1 -1
0 3.0 -1.0 0 5 1 -1
0 3.0 -1.0 1 5 1 -1
0 3.0 -1.0 2 5 4 -1
0 3.0 -1.0 0 6 1 -1
0 3.0 -1.0 1 6 2 -1
0 3.0 -1.0 1 6 1 -1
0 3.0 -1.0 2 6 6 -1
0 3.0 -1.0 2 6 4 -1
0 3.0 -1.0 2 6 1 -1
0 3.0 -1.0 2 7 3 -1
0 3.0 -1.0 2 7 1 -1
0 3.0 -1.0 0 8 1 -1
0 3.0 -1.0 1 8 3 -1
0 3.0 -1.0 1 8 1 -1
0 3.0 -1.0 2 8 1 -1
0 3.0 -1.0 1 9 1 -1
0 3.0 -1.0 2 9 4 -1
0 3.0 -1.0 2 9 3 -1
0 3.0 -1.0 2 9 2 -1
0 3.0 -1.0 2 9 1 -1
0 3.0 -1.0 1 10 1 -1
0 3.0 -1.0 2 10 3 -1
0 3.0 -1.0 1 11 1 -1
0 3.0 -1.0 2 11 3 -1
0 3.0 -1.0 2 11 1 -1
0 3.0 -1.0 2 12 3 -1
0 3.0 -1.0 1 13 3 -1
0 3.0 -1.0 1 13 2 -1
0 3.0 -1.0 2 13 1 -1
0 3.0 -1.0 1 14 2 -1
0 3.0 -1.0 1 14 1 -1
0 3.0 -1.0 2 14 3 -1
0 3.0 -1.0 2 14 1 -1
0 3.0 -1.0 1 15 1 -1
0 3.0 -1.0 2 16 2 -1
0 3.0 -1.0 2 16 1 -1
0 3.0 -1.0 2 17 1 -1
0 3.0 -1.0 2 18 1 -1
0 3.0 -1.0 0 19 1 -1
0 3.0 -1.0 1 19 3 -1
0 3.0 -1.0 1 19 1 -1
0 3.0 -1.0 2 19 1 -1
0 3.0 -1.0 0 20 1 -1
0 3.0 -1.0 1 20 2 -1
0 3.0 -1.0 1 20 1 -1
0 3.0 -1.0 2 20 1 -1
0 3.0 -1.0 1 21 2 -1
0 3.0 -1.0 1 21 1 -1
0 3.0 -1.0 2 21 1 -1
0 3.0 -1.0 1 22 1 -1
0 3.0 -1.0 2 22 2 -1
0 3.0 -1.0 1 23 1 -1
0 3.0 -1.0 2 23 2 -1
0 3.0 -1.0 2 23 1 -1
0 3.0 -1.0 2 24 1 -1
0 3.0 -1.0 1 25 2 -1
0 3.0 -1.0 1 25 1 -1
0 3.0 -1.0 0 26 1 -1
0 3.0 -1.0 1 26 5 -1
0 3.0 -1.0 1 26 2 -1
0 3.0 -1.0 2 26 2 -1
0 3.0 -1.0 2 26 1 -1
0 3.0 -1.0 1 27 2 -1
0 3.0 -1.0 2 27 1 -1
0 3.0 -1.0 1 28 3 -1
0 3.0 -1.0 1 28 1 -1
0 3.0 -1.0 2 28 1 -1
0 3.0 -1.0 1 29 1 -1
0 3.0 -1.0 2 29 1 -1
0 3.0 -1.0 1 30 1 -1
0 3.0 -1.0 2 30 1 -1
0 3.0 -1.0 1 31 1 -1
0 3.0 -1.0 0 32 1 -1
0 3.0 -1.0 2 32 1 -1
0 3.0 -1.0 1 33 3 -1
0 3.0 -1.0 1 33 2 -1
0 3.0 -1.0 1 33 1 -1
0 3.0 -1.0 2 33 2 -1
0 3.0 -1.0 2 33 1 -1
0 3.0 -1.0 1 34 1 -1
0 3.0 -1.0 0 35 3 -1
0 3.0 -1.0 0 36 2 -1
0 3.0 -1.0 0 36 1 -1
0 3.0 -1.0 1 36 1 -1
0 3.0 -1.0 2 36 2 -1
0 3.0 -1.0 2 36 1 -1
0 3.0 -1.0 0 37 1 -1
0 3.0 -1.0 2 37 3 -1
0 3.0 -1.0 2 37 1 -1
0 3.0 -1.0 2 38 2 -1
0 3.0 -1.0 2 38 1 -1
0 3.0 -1.0 1 39 2 -1
0 3.0 -1.0 1 39 1 -1
0 3.0 -1.0 2 40 1 -1
0 3.0 -1.0 1 41 1 -1
0 3.0 -1.0 1 42 2 -1
0 3.0 -1.0 1 42 1 -1
0 3.0 -1.0 2 42 1 -1
0 3.0 -1.0 1 43 2 -1
0 3.0 -1.0 1 43 1 -1
0 3.0 -1.0 1 44 2 -1
0 3.0 -1.0 1 44 1 -1
0 3.0 -1.0 2 44 3 -1
0 3.0 -1.0 2 44 1 -1
0 3.0 -1.0 0 45 1 -1
0 3.0 -1.0 1 46 2 -1
0 3.0 -1.0 1 46 1 -1
0 3.0 -1.0 2 46 2 -1
0 3.0 -1.0 2 46 1 -1
0 3.0 -1.0 2 47 1 -1
0 3.0 -1.0 0 48 1 -1
0 3.0 -1.0 1 48 2 -1
0 3.0 -1.0 1 48 1 -1
0 3.0 -1.0 2 48 1 -1
0 3.0 -1.0 0 49 1 -1
0 3.0 -1.0 1 49 1 -1
0 3.0 -1.0 2 49 1 -1
0 3.0 -1.0 0 50 1 -1
0 3.0 -1.0 1 50 2 -1
0 3.0 -1.0 2 50 1 -1
0 3.0 -1.0 1 52 2 -1
0 3.0 -1.0 2 52 3 -1
0 3.0 -1.0 2 52 1 -1
0 3.0 -1.0 2 53 4 -1
0 3.0 -1.0 2 53 2 -1
0 3.0 -1.0 1 54 1 -1
0 3.0 -1.0 2 54 2 -1
0 3.0 -1.0 2 54 1 -1
0 3.0 -1.0 1 55 1 -1
0 3.0 -1.0 2 55 3 -1
0 3.0 -1.0 2 55 2 -1
0 3.0 -1.0 2 55 1 -1
0 3.0 -1.0 1 56 2 -1
0 3.0 -1.0 1 56 1 -1
0 3.0 -1.0 2 56 4 -1
0 3.0 -1.0 2 56 2 -1
0 3.0 -1.0 1 57 1 -1
0 3.0 -1.0 2 57 3 -1
0 3.0 -1.0 2 57 2 -1
0 3.0 -1.0 2 57 1 -1
0 3.0 -1.0 1 58 2 -1
0 3.0 -1.0 2 58 2 -1
0 3.0 -1.0 2 58 1 -1
0 3.0 -1.0 2 59 2 -1
0 3.0 -1.0 2 59 1 -1
0 3.0 -1.0 1 60 2 -1
0 3.0 -1.0 1 60 1 -1
0 3.0 -1.0 2 60 1 -1
0 3.0 -1.0 2 61 3 -1
0 3.0 -1.0 2 61 2 -1
0 3.0 -1.0 2 61 1 -1
0 3.0 -1.0 0 62 1 -1
0 3.0 -1.0 1 62 2 -1
0 3.0 -1.0 1 63 3 -1
0 3.0 -1.0 1 63 1 -1
0 3.0 -1.0 2 63 1 -1
0 3.0 -1.0 2 64 1 -1
0 3.0 -1.0 1 65 1 -1
0 3.0 -1.0 0 66 1 -1
0 3.0 -1.0 1 66 3 -1
0 3.0 -1.0 1 66 1 -1
0 3.0 -1.0 2 66 1 -1
0 3.0 -1.0 1 67 1 -1
0 3.0 -1.0 1 68 1 -1
0 3.0 -1.0 2 68 2 -1
0 3.0 -1.0 1 69 1 -1
0 3.0 -1.0 2 69 3 -1
0 3.0 -1.0 2 69 1 -1
0 3.0 -1.0 1 70 1 -1
0 3.0 -1.0 1 71 1 -1
0 3.0 -1.0 2 71 3 -1
0 3.0 -1.0 1 72 1 -1
0 3.0 -1.0 2 72 2 -1
0 3.0 -1.0 2 72 1 -1
0 3.0 -1.0 1 73 2 -1
0 3.0 -1.0 2 73 3 -1
0 3.0 -1.0 2 73 2 -1
0 3.0 -1.0 2 73 1 -1
0 3.0 -1.0 1 74 1 -1
0 3.0 -1.0 2 74 2 -1
0 3.0 -1.0 2 74 1 -1
0 3.0 -1.0 2 76 1 -1
0 3.0 -1.0 1 77 3 -1
0 3.0 -1.0 1 77 1 -1
0 3.0 -1.0 1 78 2 -1
0 3.0 -1.0 2 78 2 -1
0 3.0 -1.0 2 78 1 -1
0 3.0 -1.0 2 79 2 -1
0 3.0 -1.0 2 79 1 -1
0 3.0 -1.0 2 80 1 -1
0 3.0 -1.0 0 81 2 -1
0 3.0 -1.0 0 81 1 -1
0 3.0 -1.0 0 82 1 -1
0 3.0 -1.0 1 82 1 -1
0 3.0 -1.0 1 83 1 -1
0 3.0 -1.0 1 84 1 -1
0 3.0 -1.0 2 84 2 -1
0 3.0 -1.0 2 84 1 -1
0 3.0 -1.0 1 85 1 -1
0 3.0 -1.0 2 85 1 -1
0 3.0 -1.0 1 86 2 -1
0 3.0 -1.0 1 86 1 -1
0 3.0 -1.0 2 86 1 -1
0 3.0 -1.0 1 88 2 -1
0 3.0 -1.0 2 88 2 -1
0 3.0 -1.0 2 88 1 -1
0 3.0 -1.0 0 89 1 -1
0 3.0 -1.0 1 89 2 -1
0 3.0 -1.0 1 89 1 -1
0 3.0 -1.0 2 89 2 -1
0 3.0 -1.0 2 89 1 -1
0 3.0 -1.0 1 91 1 -1
0 3.0 -1.0 2 91 1 -1
0 3.0 -1.0 2 92 2 -1
0 3.0 -1.0 2 92 1 -1
0 3.0 -1.0 2 93 1 -1
0 3.0 -1.0 2 94 1 -1
0 3.0 -1.0 1 95 1 -1
0 3.0 -1.0 1 96 1 -1
0 3.0 -1.0 2 96 2 -1
0 3.0 -1.0 1 97 1 -1
0 3.0 -1.0 2 97 1 -1
0 3.0 -1.0 1 98 1 -1
0 3.0 -1.0 1 99 2 -1
0 3.0 -1.0 1 99 1 -1
0 3.0 -1.0 1 100 1 -1
0 3.0 -1.0 2 100 2 -1
0 3.0 -1.0 1 101 1 -1
0 3.0 -1.0 2 101 2 -1
0 3.0 -1.0 2 101 1 -1
0 3.0 -1.0 1 102 3 -1
0 3.0 -1.0 1 102 2 -1
0 3.0 -1.0 1 102 1 -1
0 3.0 -1.0 2 102 1 -1
0 3.0 -1.0 2 104 1 -1
0 4.0 -1.0 0 1 2 -1
0 4.0 -1.0 0 1 1 -1
0 4.0 -1.0 1 1 1 -1
0 4.0 -1.0 2 1 2 -1
0 4.0 -1.0 0 2 2 -1
0 4.0 -1.0 2 2 6 -1
0 4.0 -1.0 2 2 1 -1
0 4.0 -1.0 2 3 1 -1
0 4.0 -1.0 2 4 1 -1
0 4.0 -1.0 1 5 3 -1
0 4.0 -1.0 1 5 1 -1
0 4.0 -1.0 2 5 3 -1
0 4.0 -1.0 2 5 1 -1
0 4.0 -1.0 2 6 3 -1
0 4.0 -1.0 2 6 1 -1
0 4.0 -1.0 1 7 3 -1
0 4.0 -1.0 1 7 2 -1
0 4.0 -1.0 1 7 1 -1
0 4.0 -1.0 2 7 1 -1
0 4.0 -1.0 0 8 3 -1
0 4.0 -1.0 0 8 1 -1
0 4.0 -1.0 2 8 2 -1
0 4.0 -1.0 2 8 1 -1
0 4.0 -1.0 1 9 1 -1
0 4.0 -1.0 2 9 4 -1
0 4.0 -1.0 2 9 2 -1
0 4.0 -1.0 2 9 1 -1
0 4.0 -1.0 0 10 1 -1
0 4.0 -1.0 1 10 1 -1
0 4.0 -1.0 2 10 4 -1
0 4.0 -1.0 2 10 2 -1
0 4.0 -1.0 2 11 1 -1
0 4.0 -1.0 1 12 2 -1
0 4.0 -1.0 1 12 1 -1
0 4.0 -1.0 2 12 1 -1
0 4.0 -1.0 0 13 1 -1
0 4.0 -1.0 2 13 3 -1
0 4.0 -1.0 2 13 2 -1
0 4.0 -1.0 1 14 2 -1
0 4.0 -1.0 2 14 1 -1
0 4.0 -1.0 2 15 6 -1
0 4.0 -1.0 2 15 3 -1
0 4.0 -1.0 2 15 1 -1
0 4.0 -1.0 1 18 1 -1
0 4.0 -1.0 2 18 2 -1
0 4.0 -1.0 2 18 1 -1
0 4.0 -1.0 0 19 1 -1
0 4.0 -1.0 1 19 1 -1
0 4.0 -1.0 2 19 1 -1
0 4.0 -1.0 1 20 2 -1
0 4.0 -1.0 2 20 2 -1
0 4.0 -1.0 1 21 1 -1
0 4.0 -1.0 2 21 2 -1
0 4.0 -1.0 2 21 1 -1
0 4.0 -1.0 1 22 2 -1
0 4.0 -1.0 2 22 3 -1
0 4.0 -1.0 2 22 1 -1
0 4.0 -1.0 2 23 2 -1
0 4.0 -1.0 2 23 1 -1
0 4.0 -1.0 0 24 1 -1
0 4.0 -1.0 2 24 2 -1
0 4.0 -1.0 2 24 1 -1
0 4.0 -1.0 0 25 1 -1
0 4.0 -1.0 2 25 2 -1
0 4.0 -1.0 2 25 1 -1
0 4.0 -1.0 0 26 1 -1
0 4.0 -1.0 2 26 1 -1
0 4.0 -1.0 2 27 2 -1
0 4.0 -1.0 2 27 1 -1
0 4.0 -1.0 0 28 1 -1
0 4.0 -1.0 2 28 1 -1
0 4.0 -1.0 2 29 1 -1
0 4.0 -1.0 2 30 2 -1
0 4.0 -1.0 2 30 1 -1
0 4.0 -1.0 2 31 1 -1
0 4.0 -1.0 2 32 2 -1
0 4.0 -1.0 2 32 1 -1
0 4.0 -1.0 0 33 1 -1
0 4.0 -1.0 1 33 1 -1
0 4.0 -1.0 2 33 2 -1
0 4.0 -1.0 2 33 1 -1
0 4.0 -1.0 2 36 1 -1
0 4.0 -1.0 2 37 3 -1
0 4.0 -1.0 2 37 2 -1
0 4.0 -1.0 2 38 2 -1
0 4.0 -1.0 2 38 1 -1
0 4.0 -1.0 1 39 1 -1
0 4.0 -1.0 2 39 1 -1
0 4.0 -1.0 0 40 1 -1
0 4.0 -1.0 1 42 1 -1
0 4.0 -1.0 2 42 1 -1
0 4.0 -1.0 1 43 1 -1
0 4.0 -1.0 2 43 1 -1
0 4.0 -1.0 0 44 1 -1
0 4.0 -1.0 0 45 1 -1
0 4.0 -1.0 1 45 1 -1
0 4.0 -1.0 2 45 2 -1
0 4.0 -1.0 0 46 1 -1
0 4.0 -1.0 2 47 1 -1
0 4.0 -1.0 1 48 1 -1
0 4.0 -1.0 2 48 1 -1
0 4.0 -1.0 2 49 4 -1
0 4.0 -1.0 2 49 1 -1
0 4.0 -1.0 0 50 1 -1
0 4.0 -1.0 1 50 1 -1
0 4.0 -1.0 0 51 1 -1
0 4.0 -1.0 1 51 3 -1
0 4.0 -1.0 1 51 1 -1
0 4.0 -1.0 0 52 1 -1
0 4.0 -1.0 2 52 6 -1
0 4.0 -1.0 2 52 3 -1
0 4.0 -1.0 2 52 1 -1
0 4.0 -1.0 1 53 2 -1
0 4.0 -1.0 1 53 1 -1
0 4.0 -1.0 2 53 2 -1
0 4.0 -1.0 2 53 1 -1
0 4.0 -1.0 1 54 1 -1
0 4.0 -1.0 2 54 5 -1
0 4.0 -1.0 2 54 3 -1
0 4.0 -1.0 0 55 1 -1
0 4.0 -1.0 2 55 2 -1
0 4.0 -1.0 2 55 1 -1
0 4.0 -1.0 1 57 1 -1
0 4.0 -1.0 2 57 1 -1
0 4.0 -1.0 1 58 4 -1
0 4.0 -1.0 1 58 2 -1
0 4.0 -1.0 1 59 2 -1
0 4.0 -1.0 1 59 1 -1
0 4.0 -1.0 2 59 1 -1
0 4.0 -1.0 0 60 1 -1
0 4.0 -1.0 1 60 3 -1
0 4.0 -1.0 1 60 1 -1
0 4.0 -1.0 2 60 1 -1
0 4.0 -1.0 0 61 1 -1
0 4.0 -1.0 1 61 3 -1
0 4.0 -1.0 1 61 1 -1
0 4.0 -1.0 0 62 1 -1
0 4.0 -1.0 1 62 1 -1
0 4.0 -1.0 2 62 1 -1
0 4.0 -1.0 0 63 1 -1
0 4.0 -1.0 2 63 2 -1
0 4.0 -1.0 2 63 1 -1
0 4.0 -1.0 1 64 1 -1
0 4.0 -1.0 0 65 1 -1
0 4.0 -1.0 1 65 1 -1
0 4.0 -1.0 2 65 1 -1
0 4.0 -1.0 1 66 1 -1
0 4.0 -1.0 2 66 1 -1
0 4.0 -1.0 0 67 1 -1
0 4.0 -1.0 2 67 4 -1
0 4.0 -1.0 2 67 3 -1
0 4.0 -1.0 2 67 2 -1
0 4.0 -1.0 0 68 1 -1
0 4.0 -1.0 2 69 1 -1
0 4.0 -1.0 1 70 2 -1
0 4.0 -1.0 1 70 1 -1
0 4.0 -1.0 2 70 1 -1
0 4.0 -1.0 2 71 1 -1
0 4.0 -1.0 0 72 1 -1
0 4.0 -1.0 2 72 3 -1
0 4.0 -1.0 1 73 2 -1
0 4.0 -1.0 2 73 1 -1
0 4.0 -1.0 2 74 2 -1
0 4.0 -1.0 2 74 1 -1
0 4.0 -1.0 2 75 2 -1
0 4.0 -1.0 1 76 1 -1
0 4.0 -1.0 2 76 1 -1
0 4.0 -1.0 2 77 1 -1
0 4.0 -1.0 0 78 1 -1
0 4.0 -1.0 2 78 1 -1
0 4.0 -1.0 2 79 1 -1
0 4.0 -1.0 2 80 1 -1
0 4.0 -1.0 1 81 1 -1
0 4.0 -1.0 2 81 1 -1
0 4.0 -1.0 1 82 2 -1
0 4.0 -1.0 1 82 1 -1
0 4.0 -1.0 2 83 3 -1
0 4.0 -1.0 2 83 1 -1
0 4.0 -1.0 1 84 1 -1
0 4.0 -1.0 2 84 3 -1
0 4.0 -1.0 2 84 1 -1
0 4.0 -1.0 2 87 3 -1
0 4.0 -1.0 2 87 1 -1
0 4.0 -1.0 2 88 1 -1
0 4.0 -1.0 1 89 2 -1
0 4.0 -1.0 1 89 1 -1
0 4.0 -1.0 2 89 1 -1
0 4.0 -1.0 1 90 1 -1
0 4.0 -1.0 2 90 1 -1
0 4.0 -1.0 2 91 1 -1
0 4.0 -1.0 0 92 1 -1
0 4.0 -1.0 1 92 1 -1
0 4.0 -1.0 1 93 1 -1
0 4.0 -1.0 2 94 1 -1
0 4.0 -1.0 1 96 2 -1
0 4.0 -1.0 1 96 1 -1
0 4.0 -1.0 2 96 2 -1
0 4.0 -1.0 1 97 1 -1
0 4.0 -1.0 2 97 1 -1
0 4.0 -1.0 1 98 2 -1
0 4.0 -1.0 1 98 1 -1
0 4.0 -1.0 2 98 1 -1
0 4.0 -1.0 1 99 2 -1
0 4.0 -1.0 2 100 2 -1
0 4.0 -1.0 2 100 1 -1
0 4.0 -1.0 1 101 1 -1
0 4.0 -1.0 1 102 1 -1
0 4.0 -1.0 0 103 1 -1
0 4.0 -1.0 1 103 1 -1
0 4.0 -1.0 1 104 1 -1
0 5.0 -1.0 0 1 2 -1
0 5.0 -1.0 0 1 1 -1
0 5.0 -1.0 1 1 1 -1
0 5.0 -1.0 0 2 1 -1
0 5.0 -1.0 1 2 1 -1
0 5.0 -1.0 2 2 1 -1
0 5.0 -1.0 2 3 2 -1
0 5.0 -1.0 2 3 1 -1
0 5.0 -1.0 2 4 4 -1
0 5.0 -1.0 2 4 3 -1
0 5.0 -1.0 2 4 1 -1
0 5.0 -1.0 1 5 2 -1
0 5.0 -1.0 1 5 1 -1
0 5.0 -1.0 2 5 1 -1
0 5.0 -1.0 1 6 5 -1
0 5.0 -1.0 1 6 2 -1
0 5.0 -1.0 1 6 1 -1
0 5.0 -1.0 2 6 2 -1
0 5.0 -1.0 1 7 1 -1
0 5.0 -1.0 2 7 3 -1
0 5.0 -1.0 2 7 2 -1
0 5.0 -1.0 2 8 2 -1
0 5.0 -1.0 0 9 3 -1
0 5.0 -1.0 0 9 2 -1
0 5.0 -1.0 1 9 3 -1
0 5.0 -1.0 1 9 1 -1
0 5.0 -1.0 2 9 3 -1
0 5.0 -1.0 0 10 1 -1
0 5.0 -1.0 0 11 1 -1
0 5.0 -1.0 1 11 2 -1
0 5.0 -1.0 1 11 1 -1
0 5.0 -1.0 2 11 3 -1
0 5.0 -1.0 2 12 2 -1
0 5.0 -1.0 2 12 1 -1
0 5.0 -1.0 2 13 4 -1
0 5.0 -1.0 2 13 2 -1
0 5.0 -1.0 2 13 1 -1
0 5.0 -1.0 2 14 3 -1
0 5.0 -1.0 2 14 2 -1
0 5.0 -1.0 2 14 1 -1
0 5.0 -1.0 1 15 2 -1
0 5.0 -1.0 1 15 1 -1
0 5.0 -1.0 1 16 2 -1
0 5.0 -1.0 1 16 1 -1
0 5.0 -1.0 2 16 1 -1
0 5.0 -1.0 1 17 1 -1
0 5.0 -1.0 2 17 2 -1
0 5.0 -1.0 2 18 2 -1
0 5.0 -1.0 0 19 1 -1
0 5.0 -1.0 1 19 2 -1
0 5.0 -1.0 1 19 1 -1
0 5.0 -1.0 2 19 1 -1
0 5.0 -1.0 2 20 2 -1
0 5.0 -1.0 2 20 1 -1
0 5.0 -1.0 0 21 2 -1
0 5.0 -1.0 0 21 1 -1
0 5.0 -1.0 1 22 1 -1
0 5.0 -1.0 2 22 1 -1
0 5.0 -1.0 1 23 2 -1
0 5.0 -1.0 1 23 1 -1
0 5.0 -1.0 2 23 3 -1
0 5.0 -1.0 2 23 2 -1
0 5.0 -1.0 2 24 1 -1
0 5.0 -1.0 1 25 1 -1
0 5.0 -1.0 2 25 2 -1
0 5.0 -1.0 1 26 2 -1
0 5.0 -1.0 2 26 2 -1
0 5.0 -1.0 2 27 1 -1
0 5.0 -1.0 1 28 2 -1
0 5.0 -1.0 2 28 1 -1
0 5.0 -1.0 1 31 2 -1
0 5.0 -1.0 1 31 1 -1
0 5.0 -1.0 1 32 1 -1
0 5.0 -1.0 2 32 1 -1
0 5.0 -1.0 1 33 1 -1
0 5.0 -1.0 2 33 3 -1
0 5.0 -1.0 2 33 2 -1
0 5.0 -1.0 2 34 1 -1
0 5.0 -1.0 1 35 1 -1
0 5.0 -1.0 2 35 2 -1
0 5.0 -1.0 2 35 1 -1
0 5.0 -1.0 0 36 1 -1
0 5.0 -1.0 1 36 1 -1
0 5.0 -1.0 2 36 1 -1
0 5.0 -1.0 1 37 1 -1
0 5.0 -1.0 1 39 1 -1
0 5.0 -1.0 2 39 1 -1
0 5.0 -1.0 1 41 2 -1
0 5.0 -1.0 1 41 1 -1
0 5.0 -1.0 0 42 1 -1
0 5.0 -1.0 1 42 4 -1
0 5.0 -1.0 1 42 1 -1
0 5.0 -1.0 1 43 1 -1
0 5.0 -1.0 2 43 1 -1
0 5.0 -1.0 1 44 2 -1
0 5.0 -1.0 1 44 1 -1
0 5.0 -1.0 0 45 1 -1
0 5.0 -1.0 1 45 1 -1
0 5.0 -1.0 2 45 4 -1
0 5.0 -1.0 2 45 3 -1
0 5.0 -1.0 2 45 1 -1
0 5.0 -1.0 1 46 1 -1
0 5.0 -1.0 2 46 1 -1
0 5.0 -1.0 1 47 1 -1
0 5.0 -1.0 0 48 2 -1
0 5.0 -1.0 0 48 1 -1
0 5.0 -1.0 2 48 2 -1
0 5.0 -1.0 2 48 1 -1
0 5.0 -1.0 1 49 1 -1
0 5.0 -1.0 2 49 3 -1
0 5.0 -1.0 2 49 1 -1
0 5.0 -1.0 1 50 2 -1
0 5.0 -1.0 1 50 1 -1
0 5.0 -1.0 2 50 1 -1
0 5.0 -1.0 0 51 1 -1
0 5.0 -1.0 1 51 2 -1
0 5.0 -1.0 1 51 1 -1
0 5.0 -1.0 2 51 1 -1
0 5.0 -1.0 0 52 2 -1
0 5.0 -1.0 0 52 1 -1
0 5.0 -1.0 1 52 1 -1
0 5.0 -1.0 2 52 3 -1
0 5.0 -1.0 0 53 2 -1
0 5.0 -1.0 1 53 2 -1
0 5.0 -1.0 2 53 1 -1
0 5.0 -1.0 0 54 1 -1
0 5.0 -1.0 1 54 4 -1
0 5.0 -1.0 1 54 1 -1
0 5.0 -1.0 2 55 3 -1
0 5.0 -1.0 2 55 1 -1
0 5.0 -1.0 2 56 2 -1
0 5.0 -1.0 1 57 2 -1
0 5.0 -1.0 2 57 2 -1
0 5.0 -1.0 2 57 1 -1
0 5.0 -1.0 1 58 2 -1
0 5.0 -1.0 1 58 1 -1
0 5.0 -1.0 2 59 1 -1
0 5.0 -1.0 1 61 1 -1
0 5.0 -1.0 2 61 2 -1
0 5.0 -1.0 2 61 1 -1
0 5.0 -1.0 1 62 1 -1
0 5.0 -1.0 2 62 2 -1
0 5.0 -1.0 1 63 1 -1
0 5.0 -1.0 2 63 1 -1
0 5.0 -1.0 2 64 1 -1
0 5.0 -1.0 1 65 1 -1
0 5.0 -1.0 2 66 1 -1
0 5.0 -1.0 0 67 1 -1
0 5.0 -1.0 0 68 1 -1
0 5.0 -1.0 2 68 3 -1
0 5.0 -1.0 2 68 1 -1
0 5.0 -1.0 2 69 2 -1
0 5.0 -1.0 2 69 1 -1
0 5.0 -1.0 0 70 1 -1
0 5.0 -1.0 2 70 3 -1
0 5.0 -1.0 2 70 1 -1
0 5.0 -1.0 0 71 1 -1
0 5.0 -1.0 2 71 1 -1
0 5.0 -1.0 1 72 1 -1
0 5.0 -1.0 1 73 1 -1
0 5.0 -1.0 2 73 1 -1
0 5.0 -1.0 1 74 2 -1
0 5.0 -1.0 2 74 1 -1
0 5.0 -1.0 1 76 2 -1
0 5.0 -1.0 1 76 1 -1
0 5.0 -1.0 0 77 1 -1
0 5.0 -1.0 2 77 1 -1
0 5.0 -1.0 2 78 1 -1
0 5.0 -1.0 0 79 1 -1
0 5.0 -1.0 2 79 1 -1
0 5.0 -1.0 1 80 1 -1
0 5.0 -1.0 1 81 1 -1
0 5.0 -1.0 2 81 2 -1
0 5.0 -1.0 2 81 1 -1
0 5.0 -1.0 2 82 2 -1
0 5.0 -1.0 2 83 1 -1
0 5.0 -1.0 1 84 1 -1
0 5.0 -1.0 2 85 2 -1
0 5.0 -1.0 2 85 1 -1
0 5.0 -1.0 1 86 1 -1
0 5.0 -1.0 2 86 3 -1
0 5.0 -1.0 2 86 1 -1
0 5.0 -1.0 2 88 2 -1
0 5.0 -1.0 2 88 1 -1
0 5.0 -1.0 0 89 1 -1
0 5.0 -1.0 1 89 2 -1
0 5.0 -1.0 1 89 1 -1
0 5.0 -1.0 2 89 1 -1
0 5.0 -1.0 1 90 1 -1
0 5.0 -1.0 1 91 2 -1
0 5.0 -1.0 2 91 2 -1
